ABET	VBOO; 
association	vereniging;  verbandteken;  assosiasie; 
associations	 assosiasies; verenigings;  verbandtekens; 
assume	aanneem; 
assumed	aangenome; 
assumption	 assumpsie; aanname;  veronderstelling; 
assumptions	 assumpsies; aannames;  veronderstellings; 
assurance	 selfversekering; versekering;  assuransie;  versekerdheid;  sekerheid; 
assure	verseker; 
assured	versekerde; 
astronomy	 sterrekunde; astronomie; 
at	 te;  met;  teen; in;  na;  oor;  om;  aan;  tot;  by; 
athletics	atletiek; 
atmosphere	atmosfeer; 
atmospheric	atmosferiese steuring;  aardatmosferies;  atmosferies; 
attach	 in beslag neem;  beslag lê op; verbind;  aanheg;  aanwerk;  vasheg;  vaswerk;  beslag lê; 
attached	 aangewerkte;  in beslag geneem;  ingebreide; aangehegte;  het beslag gelê op;  vasgehegte;  het verbind;  vasgewerkte; 
attachment	 aanhegting;  gehegtheid;  hegstuk;  aanhegsel; beslaglegging;  aansitstuk; 
attack	aanslag;  aanpak;  flink inval;  spraakdinamiek;  bestry;  inwerking;  inwerk op;  invreet;  dinamiek gee;  aanval;  aantas;  aanrand;  pak;  kragtige inval by aanvangspunt; 
attacks	 aanvalle;  aanrandings;  kragtige invalle by aanvangspunt;  bestrydings;  flink invalle; aanpak;  pakke;  inwerkings op;  dinamiek gee;  inwerkings;  aanslagte;  aantas; 
attain	bereik; 
attained	bereikte; 
attainment	verwerwing; 
attempt	 poging; probeer; 
attempted	 het gepoog; het probeer; 
attempts	pogings;  probeerslae; 
attend	bywoon;  aandag gee; 
attendance	 aanwesigheid;  opdaging;  opkoms;  bediening; bywoning; 
attended	aandag gee; bygewoon; 
attending	bywoon; 
attention	aandag; 
attitude	stand;  houding;  gesindheid;  belangstelling; 
attitudes	 gesindhede;  houdings; stand;  belangstellings; 
attorney	prokureur; 
attorney-general	prokureur-generaal; 
attorneys	prokureurs; 
attract	aantrek; 
attracted	aangetrekte; 
attribute	 byvoeglike bepaling;  attribueer;  eienskap; hoedanigheid;  attribuut; 
au	 au pair;  eina!; au fait ; 
auction	 vendusie;  roepverloop; veiling; 
audience	 luisteraars;  kykers; gehoor; 
audiences	 luisteraars;  kykers; gehore; 
audio	klankreproduksie; 
audio-visual	 oudiovisuele toerusting; oudiovisueel; 
audiovisual	aanskoulik; 
audit	oudit;  ouditering;  ouditeer; 
audited	geouditeerde; 
auditing	 nasien; ouditering; 
auditor	ouditeur; 
auditor-general	ouditeur-generaal; 
auditors	ouditeurs; 
audits	oudit;  ouditering;  ouditeer; 
august	Augustus; 
auspices	onder beskerming van; 
authentic	eg; 
author	 outeur; skrywer; 
authorisation	magtiging; 
authorise	magtig;  magtiging verleen aan; 
authorised	gemagtig;  gemagtigde; 
authorities	owerheid; 
authority	magtiging;  gesaghebbende;  outoriteit;  gesag;  owerheid; 
authorization	 volmag; magtiging;  outorisasie; 
authorize	magtig; 
authorized	gemagtig; 
authors	skrywers;  outeurs; 
automated	geoutomatiseer; 
automatic	outomaties;  outomatiese; 
automatically	outomaties; 
availability	beskikbaarheid; 
available	beskikbaar; 
avenue	laan; 
avenues	lane; 
average	 gemiddeld; gemiddelde;  gemiddelde bereken;  awery;  gemiddelde bepaal; 
aviation	lugvaart; 
avoid	 vermy; verhoed; 
avoidance	 ontwyking; vermyding; 
awaiting	 in afwagting op/van; wag; 
award	 toeken; toekenning;  bekroon;  bekroning; 
awarded	toegeken;  bekroonde; 
awarding	toeken;  bekroon;  is besig om te bekroon; 
awards	 toeken;  bekronings; toekennings; 
aware	 bewus wees; bewus; 
awareness	bewustheid; 
away	 verwyderd; uit;  van huis;  weg;  voort; 
babies	babas; 
baby	baba;  skommelsif;  kleinpels;  bybie;  jongpels; 
back	 agtertong;  boekrug maak;  agterspeler;  'n keep vorm;  agterrok; steun;  agterhelfte;  agteruitry;  teen-elektromotoriese krag;  verdik;  agter;  soldererts;  agterpant;  skild;  agter-;  agterkant;  laag;  rugwit;  agternek;  rug;  rugkant;  boekrug;  met ruglaag versterk;  sitvlak;  binnewit;  onderlê; 
backdrop	agtergronddoek; 
background	agtergrond; 
backgrounds	agtergronde; 
backlog	agterstand; 
backlogs	agterstande; 
bad	sleg; 
bag	 sakkerig hang;  in sakke sit;  kardoes;  in sakke gooi;  omdop;  vaspak;  gooi; sak; 
bail	 uitskep;  borggeld; borg;  beuel;  hingsel;  keerpaal;  borgtog; 
baking	bak;  baksel;  droging; 
balance	res;  ewewig;  balanseer;  massameter;  skaal;  balans;  oorskot;  saldo; 
balanced	ewewigtig; 
balances	balanseer;  balanse;  reste;  skale;  massameters;  ewewigte;  oorskotte;  saldo's; 
ball	 koeël;  oprol;  kluit;  bol;  kussinkie; bal;  bal van voet; 
band	 rib;  bandkraag;  boord;  reep;  jazz-orkes;  strook;  band;  streep;  band omsit; laag;  golflengte;  gordel;  orkes; 
bank	 opwal;  dwarshelling gee;  opbank;  ry;  kanting gee;  wal; groep;  bank;  oewer;  krink;  rivierwal;  span; 
banking	banksake;  bankwese;  stapeling;  kanting;  bankbedryf; 
banks	duimindeks; 
baobab	kremetart; 
bar	 stang;  stuitlaag;  wreefband;  staaf;  skag;  sper;  sandbank;  versperring;  stafie;  kroeg;  balk;  trensie;  dwarsbalk;  balkie;  strandwal;  maat;  band;  streep;  sandwal;  bar;  dwarslat; bank;  kop;  versper;  grendel;  versmalde dwarsbalk;  balie;  trens; 
bargaining	bedinging; 
barrier	 hindernis;  keermuur;  versperring; grens;  sperder;  permanente versperring;  sperlaag;  keerstrook; 
barriers	grense;  versperrings;  keermure;  permanente versperrings;  sperlae;  hindernisse; versperrings;  keerstroke; 
base	 baseer;  fondamentplaat;  voet;  boom; basis;  eindpunt;  bof;  onedel;  grondtal of basis;  rug;  kroonlaag;  monteerstuk;  voetstuk;  grondtal; 
based	 gebaseerde;  fondamentplaat;  voet;  eindpunt;  bof;  onedel;  grondtal of basis; boom;  rug;  kroonlaag; gebaseer;  monteerstuk;  voetstuk;  grondtal; 
baseline	basislyn; 
basic	 basiese kledingstuk; basiese;  basies;  grond-; 
basics	grondbeginsels; 
basis	 grondslag; basis;  steunvlak; 
basket	mandjie; 
battle	 geveg; slag; 
bay	 vak;  inham;  afdeling;  baai; stel;  kastaiingbruin;  hal;  raam;  holte;  berghoek; 
bb	bankbiljet;  buite-beeld;  bedryfsbate; 
be	 wees;  was; word; 
beach	strand;  op die strand laat loop; 
beaches	 op die strand laat loop; strande; 
bear	 beerpels; dra;  sit;  beer; 
bearers	steunpante; 
bearing	 drastuk;  kompasrigting;  rigting; laer;  dra-;  peiling;  ligging;  rigtingshoek; 
bears	 bere; dra;  sit; 
beautiful	 lieflike;  beeldskone;  beeldskoon;  mooi; skoon;  fraai;  pragtig;  sierlik; 
beauty	skoonheid; 
became	word;  gevlei; 
because	 weens;  vanweë;  omrede;  omdat;  deurdat; om;  want; 
become	 vlei; word; 
becomes	 vlei; word; 
becoming	 vlei; word; 
bed	 bed;  lê;  fondament;  bodem;  bedding;  bak;  inbed;  pasmaak;  onderlaag; laag;  rolmat; 
beds	 onderlae;  bakke;  lê;  bodems;  pasmaak; lae;  rolmatte ;  fondamente;  maak pas;  inbeddings;  beddens;  vormbeddens;  beddings; 
bee	by; 
been	 wees;  was; word; 
beer	 skeringbundel; bier;  spleetgroep; 
before	voor; 
began	het begin; 
beginning	begin; 
begins	begin; 
begun	begonne; 
behalf	 behoewe; namens;  ten bate van;  ontwil; 
behaviour	 gedrag;  gewoonte; optrede; 
behind	agter; 
being	 synde; wese;  eksistensie; 
beings	 wesens; synde;  eksistensie; 
belief	 oortuiging;  opvatting; geloof; 
beliefs	opvattings;  gelowe;  oortuigings; 
believe	 vertrou;  dink;  glo;  aanneem;  veronderstel; verwag;  van mening wees;  meen; 
believed	 geglo; gedink;  gedog; 
believes	 vertrou;  dink;  glo;  aanneem;  veronderstel; verwag;  van mening wees;  meen; 
believing	 gelowigheid; gelowig; 
belong	behoort;  tuis behoort;  hoort;  toegehoort; 
belonging	 betreffend; behorend; 
belongs	behoort;  hoort aan;  tuishoort;  hoort by;  toegehoort; 
beloved	 dierbare;  geliefd;  bemin; geliefde;  bemind;  gelief;  beminde; 
below	onder;  laer af; 
benchmark	norm;  hoogtemerk;  normtoets; 
beneficial	heilsaam; 
beneficiaries	 bevoordeeldes; begunstigdes; 
beneficiary	 bevoordeelde; begunstigde; 
benefit	voordeel;  benut; 
benefited	het voordeel getrek;  benutte; 
benefits	voordele; 
best	beste; 
better	beter; 
between	 gekantonneer van;  vergesel;  begelei; tussen; 
beyond	 anderkant; buite; 
bid	 bie;  bod; tender; 
bidder	 roeper;  bieër; tenderaar; 
bidders	 bieërs;  roepers; tenderaars; 
bids	 aanbiedings; tenders;  aanbotte; 
biennale	biënnaal;  tweejarige;  biënnale; 
big	groot; 
bigger	groter; 
biggest	grootste; 
bilateral	 bilateraal; tweesydig; 
bill	 biljet;  wissel;  faktuur; program;  rekening;  plakkaat;  adverteer;  nota;  snawel;  bek;  'n rekening stuur;  wetsontwerp; 
billion	biljoen; 
bills	 bekke;  rekeninge;  adverteer;  notas; programme;  fakture;  biljette;  wetsontwerpe;  plakkate;  wissels;  snawels;  'n rekening stuur; 
binding	 bindwerk;  stremming; band;  word gebind;  omboorwerk;  bind-;  omwindsel;  bindmateriaal;  omboorsel;  bindsel;  binding; 
biodiversity	biodiversiteit; 
biological	 biologiese middel; biologies; 
biome	bioom; 
bird	voël; 
birds	voëls; 
birth	geboorte; 
birthday	verjaardag;  verjaarsdag; 
black	 verswart;  swartsel;  Goties; swart; 
blacks	swart gordyne;  swart letters; 
blind	 blindeer;  blind word;  verstop;  verblind; blind;  blinder; 
block	 takelblok;  blokkering;  katrol;  blokbandstempel;  stut;  verstop;  hysblok;  drukblok; afsluit;  blokstempel;  blokkeer;  spasieblok;  blokkasie;  blok;  ysblok;  versper;  tjap; 
blood	 bloedsomloop; bloed; 
blue	blou;  verblou;  aanblou;  blousel;  in blousel steek; 
board	 swartbord;  plank;  raad van ondersoek;  houer; raad;  opklim;  bord;  bordpapier;  aan boord gaan;  laai; 
boards	 tafels;  kommissies; rade;  planke;  borde;  besture; 
boasts	spog;  afwerk (met beitel);  bosseer;  roem op; 
bodies	 letterkorpse;  voorwerpe;  bakke;  korpsgroottes; liggame;  skagte;  liggame;  lyke; instansies;  hoofdele;  bane;  rompe;  liggaamswande;  lywe;  blokke; huise; 
bodily	heeltemal;  in lewende lywe;  met kop en pootjies;  lyflik;  volkome;  kompleet; liggaamlik; 
body	 letterkorps;  skag;  korpsgrootte;  voorwerp;  lyf gee;  liggaam;  bak;  volligheid;  bakwerk;  hoofdeel;  instansie;  romp;  liggaamswand;  blok;  digtheid van sop;  baan;  randvorm;  lywigheid; huis;  lyf;  bou;  lyk;  volheid; 
bold	vet; 
bona	 eg;  bona fide = te goeder trou; eiendom;  goed; 
bond	 saambind;  aanhegting;  bindmiddel;  deurverbinder;  verbandstuk;  bind;  band;  verbinding;  deurverbind;  aanmekaarsmelt;  bindlaag;  binding; verband; 
bonds	 verbande;  bindmiddels; bande;  aanhegtings;  bindings;  deurverbinders;  verbindings; aanmekaarsmelting;  saambindings;  deurverbindings;  verbandstukke; verbind; 
book	deel;  boekie;  bespreek;  boek;  volume;  bundel;  band;  boekdeel; 
books	 finansiële state; boeke; 
boom	 sperboom;  sluitpaal;  snybalk;  oplewing;  boom;  balk;  vlotskerm;  kraanarm;  hysarm; arm;  snyarm;  aan arm hang;  hoogkonjunktuur; 
boost	 aanja;  aanpassing;  aanjaging;  versterking; versterk; 
border	 sieromranding;  rant;  kantstrook;  omlysting;  grens;  berand;  omranding;  fries;  strook; rand;  omrand;  omsoon;  soom;  akker;  randstrook;  naasaan lê;  kraag; 
borders	 rante; grense;  akkers;  omrande;  sieromrandings;  kantstroke;  krae;  stroke;  omsomings;  omlystings;  friese;  randstroke;  rande;  some; rande; 
born	gebore; 
borne	 het gedra; sit; 
borrow	leen;  ontleen; 
boss	 naaf;  knobbel;  sierknop;  knop;  bolvormige versiering; bos;  dekversiering;  hoekbeslag;  oogverdikking;  verdikking; 
botanical	botanies; 
both	beide; 
bottom	 onderstuk;  teen die boom stoot;  voet;  boom; vloer;  mat;  bodem;  onderkant;  nuller;  sitvlak;  deurslaan; 
bought	aangekoopte; 
bound	gebind;  grens;  begrens;  gebonde papie; 
boundaries	grense;  rande;  grenslyne; 
boundary	 grens; rand;  grenslyn; 
box	 omlys;  kis; bus;  karton;  kantstrook;  omlysting;  hokkie;  leë kol;  kas;  boks;  perskas;  vakkie;  slot;  loge;  doos; 
boy	 seun;  seunskind;  klonkie;  knaap; jong;  jongetjieskind;  seuntjie;  klong; 
boys	 seunskinders;  jongens;  seuntjies;  jongetjieskinders;  knape;  klonge;  klonkies; seuns; 
brackets	 vierkantige hakies; hakies; 
branch	 aftakking;  sytak;  vertak;  in takke verdeel; tak;  sywortel; 
branches	 sywortels;  vertakings;  sytakke;  in takke verdeel; takke;  aftakkings; 
brand	 handelsmerk;  brandmerk;  brand; soort; 
brave	dapper; 
bravery	dapperheid; 
breach	 deurbraak;  breuk;  deurbreek; oortreding; 
breadth	breedte; 
break	afloop;  breekslag;  gat;  breuk;  onderbreek;  frommelmerk;  aangietsel;  losbreek;  breking;  verbreking;  afbreek;  onderbreking;  opbreek;  knak;  afgaan;  losskiet;  breekplek;  losbars;  pouse;  skielike verandering;  splitsing;  verbreek;  gaping;  gelukslag;  lynbreuk;  breek;  afbreking;  oortree;  breek van stem; 
breakdown	 oponthoud;  ineenstorting;  breekstop;  afbraak;  deurslag;  onderbreking;  onklaar voertuig;  teëspoed;  onklaarraking; ontleding;  afbreking; 
breakfast	ontbyt; 
breaking	 breking;  breek van die brood; breek; 
breakthrough	deurbraak; 
bridge	brug;  brughuis;  brug-aar;  oorbrug; 
bridging	 blokkering; oorbrugging;  brugvorming; 
brief	voorlig;  knapbroekie;  breve; 
briefing	 voorinligting;  voorligpraatjie; voorligting; 
briefly	kortliks; 
briefs	knapbroekies; 
bring	verskaf;  vergesel;  veroorsaak;  besorg;  êrens heen neem/vervoer;  lei;  bring;  in sekere toestand laat kom;  aandra; 
bringing	verskaf;  vergesel;  veroorsaak;  besorg;  êrens heen neem/vervoer;  lei;  bring;  in sekere toestand laat kom;  aandra; 
brings	verskaf;  vergesel;  veroorsaak;  besorg;  êrens heen neem/vervoer;  lei;  bring;  in sekere toestand laat kom;  aandra; 
broad	breed;  vloedbeligting;  varswatermeer; 
broad-based	wyd;  breedgebaseerde;  breed;  omvattend; 
broadband	breëband; 
broadcast	uitsending;  beeldsaai;  uitsaai; 
broadcaster	uitsaaier;  strooier; 
broadcasters	strooiers;  uitsaaiers; 
broadcasting	 uitsaaiwese;  uitsending;  uitsaai-; strooi; 
broaden	verbreed; 
broadening	verbreding; 
broader	breër; 
broadly	oor die algemeen;  in die algemeen; 
brochure	brosjure; 
brochures	brosjures; 
bronze	 koperstempel;  verbrons; brons; 
brother	broer; 
brothers	broers; 
brought	gebring; 
brutal	wreedaardig; 
brutality	brutaliteit; 
budget	 begroot; begroting; 
budgetary	begrotings-; 
budgeted	begrote; 
budgeting	begroot; 
budgets	begrotings;  begroot; 
buffalo	buffel; 
build	 liggaamsbou; bou;  oprig; 
build-up	opbou;  opbouing;  ophoping; 
building	gebou;  bouwerk; 
buildings	geboue;  bouwerke; 
built	 beboude; opgerig; 
bulk	 vulstof;  opdik;  massa;  by die grootmaat; ruim;  lywigheid;  blokdikte;  uitdy;  grootmaat;  bonkigheid; 
burden	smeltselbolaag; 
bureau	buro; 
buried	het begrawe; 
burning	 verbranding;  branding; vlamsnywerk; 
bursaries	beurse; 
bursary	beurs; 
bury	begrawe; 
bus	 bus;  geleistam; stam;  skakelaarbank; 
business	 besigheid; sake;  doenigheid;  handelinge; 
businesses	sake;  doenighede;  besighede;  handelinge; 
bust	winkelpop;  borsbeeld;  buuste; 
busy	 beset; besig; 
but	 net;  immers;  egter;  behalwe;  dog;  slegs; maar; 
buy	koop; 
by	 weens;  onder;  gedurende;  ten spyte van;  saam met;  langs;  as;  in geval van;  in die nabyheid;  byna; om;  rondom;  ongeveer;  aan;  teenwoordig;  volgens;  reg;  by; 
cabinet	kabinet; 
calculate	bereken; 
calculated	berekende; 
calculating	bereken; 
calculation	berekening; 
calendar	 almanak; kalender; 
call	aanslag;  opvorder;  samekoms;  opvordering;  roep;  repetisie; 
called	opvordering;  het aangeslaan;  het geroep;  opgevorder; 
calling	roeping; 
calls	roep;  repetisies;  opvorder;  opvordering; 
came	gekom; 
camp	 swierig;  oefenkamp;  kampeer; kamp;  verwyfd; 
campaign	veldtog;  'n veldtog voer;  kampanje; 
campaigns	 'n veldtog voer; veldtogte;  kampanjes; 
camps	verwyfd;  kampeer;  oefenkampe; 
campus	kampus; 
campuses	kampusse; 
can	 kopfoon;  ligbron; kan;  blik;  opneem;  filmblik; 
can't	kan nie; 
cancel	 afstempeling; kanselleer;  foutblad;  intrek;  staak;  stempel;  vervangblad;  kansellering; 
cancellation	 afstempeling;  intrekking; vervanging;  kansellasie;  kansellering; 
cancelled	geskanselleer; 
cancer	kanker; 
candidate	kandidaat; 
candidates	kandidate; 
cannot	kan nie; 
cant	 oorhel;  kanting;  kantel; verhoging;  kanteling;  oorhelling; 
cap	 vlot; bedek;  mus;  verskyning vir jou land;  pet;  klok;  pileus;  tou-ent beslaan;  deksel;  naafdop;  slagdoppie;  dop opsit;  kopblad;  knop;  dop;  kleure toeken;  kopbalk;  verseël;  kap;  neutdop;  dekking;  dekstuk;  oorkap;  kop;  doppie;  doppie aankrimp;  helm;  afheg;  hoofletter;  afhegting; 
capabilities	bekwaamhede; 
capability	bekwaamheid; 
capable	bekwaam;  in staat; 
capacities	 inhoudsvermoëns;  hoedanighede;  drakragte;  kapasiteite;  ruilkapasiteite;  vermoëns;  houvermoëns;  maksimum getal sitplekke; ruimtes;  inhoude; 
capacity	 ruilkapasiteit;  houvermoë;  ruimte;  kapasitiet; inhoud;  hoedanigheid;  vermoë;  inhoudsvermoë;  drakrag;  kapasiteit;  maksimum getal sitplekke; 
capacity-building	kapasiteit-bou; 
cape	 kort mantel; kaap;  mantel;  Kaapse skaapvel;  flank;  skouermantel; 
capital	kapitaal;  hoofstad;  kapiteel; 
caps	 klokke;  bedekkings;  hoofletters;  doppe;  tou-ente beslaan;  dop opsit;  knoppe;  naafdoppe;  sluitdoppe opsit;  deksels; perke;  doppies;  doppies aankrimp;  kleure toeken;  helms;  verseël;  kappe;  pette; koppe;  neutedoppe; proppe;  dekstukke;  verskynings vir jou land;  vlotte;  musse;  slagdoppies;  dekkings; pette;  afhegtings; doppe; hoofletters; 
capture	 onderskep; vang;  vangs;  weergee;  vaslê;  gevange neem; 
captured	 het weergegee;  het vasgelê; vasgevang;  onderskepte;  het gevang;  gevange neem; 
captures	 onderskep; vang;  vangste;  vaslê; neem gevange ; 
car	motor;  hysbak;  kar;  trok; 
carbon	 koolstof; koolspits; 
card	kaart; 
cards	kaarte; 
care	sorg;  oppas;  versorging; 
career	loopbaan; 
careers	loopbane; 
careful	versigtig; 
carefully	 sorgvuldig; versigtig; 
cargo	vrag; 
caring	 versorgende; sorgsame; oppassend; 
carnival	karnaval; 
carpet	 slytlaag;  mat; tapyt; 
carried	gedra; 
carries	dra;  oordra;  aan boord hê;  dra oor;  span; 
carry	dra;  oordra;  aan boord hê;  span; 
carrying	oordra; 
case	 kis;  hulsel;  omhulsel;  tas;  dwars versier;  uitvoer;  inhang; geval;  bak;  dop;  band;  koker;  foedraal;  inhangband;  kas;  letterkas;  sak;  vormpie;  saak;  sloop;  omhul; 
cases	 uitvoere;  gevalle;  kiste;  sakke;  bakke;  kaste;  doppe;  vormpies;  omhulsels;  slope;  foedrale;  bande;  kokers; sake;  inhangbande;  hulsels;  tasse;  omhul; 
cash	 kontant;  wissel; neem;  uitwissel; 
cast	 rolbesetting; opstel;  spelers;  vormafdruk;  geselskap;  rol toeken;  rolbesetting maak;  rolle beset;  optel;  gegiet;  rolverdeling;  afgietsel;  vorm? vormafdruk?;  gietsel;  giet; 
catalogue	katalogiseer;  katalogus; 
catalyst	katalisator; 
catch	 onderskep;  inhaal; vang;  begin aanbrand;  vangs;  onderlegstrook;  knip; 
